,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
422,2.83,2.77,0.0,3,0.6970000000000001,0.84,3,1259,0.133,0.151,0.08199999999999999,0.552,0.64,0.054000000000000006,0.16899999999999998,0.064,0.068,0.068,0.358,0.7909999999999999,3,2,3,3,2,0.84,2,0.79,3,2,0.86,0.68,2,0.966,0.89,3,0.4
857,2.63,2.27,0.0,2,0.727,0.75,3,641,0.064,0.225,0.087,0.551,0.6679999999999999,0.014,0.17800000000000002,0.034,0.103,0.103,0.57,0.564,3,2,2,3,2,0.71,2,0.81,2,2,0.794,0.61,2,0.948,0.79,2,13.0
774,2.54,2.23,0.0,3,0.39,0.72,2,367,0.027000000000000003,0.883,0.041,0.248,0.068,0.003,0.155,0.014,0.046,0.046,0.202,0.7809999999999999,3,2,3,3,3,0.8,3,0.83,3,3,0.905,0.68,3,0.952,0.82,3,5.8
754,2.43,2.2,0.0,1,0.6990000000000001,0.72,2,392,0.051,0.513,0.046,0.526,0.34700000000000003,0.013,0.199,0.033,0.092,0.092,0.5429999999999999,0.593,3,2,3,2,2,0.59,2,0.75,2,2,0.826,0.5,2,0.953,0.78,2,2.0
314,2.46,2.41,92.0,4,55.7,88.0,3,421,15.9,12.6,6.2,43.0,54.4,4.0,13.8,13.5,4.0,4.0,29.6,91.7,4,3,3,4,4,93.0,4,75.0,3,3,88.2,83.0,3,96.4,93.0,3,6.8
486,2.76,2.6,0.0,2,0.708,0.73,2,1135,0.017,0.6920000000000001,0.016,0.475,0.233,0.011,0.107,0.02,0.114,0.114,0.31,0.843,3,3,3,2,3,0.76,3,0.76,0,2,0.879,0.6,2,0.954,0.82,0,4.7
319,2.35,2.28,75.0,3,61.2,63.0,1,1828,9.7,4.5,21.2,44.3,65.7,5.0,16.8,18.9,8.0,8.0,47.0,93.5,4,2,3,3,3,82.0,2,68.0,2,2,82.2,77.0,2,95.7,83.0,2,3.8
1168,2.51,2.12,0.0,2,0.653,0.71,1,328,0.043,0.442,0.085,0.503,0.329,0.009000000000000001,0.25,0.122,0.08800000000000001,0.08800000000000001,0.5589999999999999,0.8640000000000001,4,3,4,3,3,0.68,3,0.75,2,2,0.807,0.63,3,0.968,0.78,1,6.4
682,2.81,2.31,0.0,4,0.701,0.87,3,374,0.013,0.741,0.008,0.476,0.222,0.0,0.19,0.005,0.051,0.051,0.386,0.574,4,4,4,4,4,0.76,4,0.84,3,2,0.893,0.66,3,0.97,0.89,3,5.9
5,3.71,3.65,90.0,4,31.4,90.0,4,545,17.1,17.2,0.0,17.2,18.7,0.0,1.1,45.3,2.0,2.0,6.2,87.9,4,4,4,4,3,92.0,4,75.0,3,4,95.8,91.0,4,97.6,92.0,3,4.8
100,2.73,2.64,92.0,3,80.5,89.0,4,486,3.1,30.0,2.1,66.0,64.6,0.4,8.2,1.6,7.2,7.2,22.7,85.0,3,3,3,4,3,94.0,3,80.0,3,4,92.7,88.0,4,96.8,92.0,3,5.8
665,2.47,2.23,0.0,3,0.67,0.74,2,427,0.044,0.815,0.068,0.489,0.108,0.028,0.183,0.019,0.105,0.105,0.267,0.8059999999999999,3,3,4,3,3,0.78,3,0.82,3,3,0.9,0.63,3,0.978,0.86,3,13.0
622,2.85,2.76,0.0,3,0.531,0.88,4,451,0.033,0.7609999999999999,0.018000000000000002,0.341,0.16,0.009000000000000001,0.188,0.029,0.058,0.058,0.264,0.6920000000000001,3,2,2,3,2,0.84,2,0.83,3,3,0.897,0.71,3,0.966,0.86,3,2.8
