DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
29Q283,Preparatory Academy for Writers: A College Board S,High School,552,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,94%,93%,88%,92%,81%,91%,Proficient,Well Developed,Proficient,Well Developed,Well Developed,"December 13-14, 2013",2.56,2.3,0.80%,15.60%,0.00%,46.40%,4.50%,36.70%,4.20%,81.00%,8.40%,2.40%,5.9,72.70%,89.10%,30.60%,96.50%
29Q313,Benjamin Franklin High School for Finance & Inform,High School,113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88%,96%,78%,98%,86%,93%,Proficient,Proficient,Developing,Proficient,Well Developed,14-Jan-15,2.36,2.16,9.70%,15.00%,3.50%,53.90%,6.20%,40.70%,12.40%,70.80%,12.40%,1.80%,1,62.50%,91.90%,24.60%,99.10%
29Q326,Cambria Heights Academy,High School,372,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,75%,72%,75%,69%,76%,78%,Proficient,Proficient,Proficient,Well Developed,Well Developed,15-Dec-15,2.33,2.13,3.50%,20.40%,0.00%,44.20%,5.10%,33.30%,6.70%,79.00%,9.10%,2.20%,5,72.00%,86.80%,42.60%,97.50%
29Q327,Eagle Academy for Young Men III,High School,428,Meeting Target,Meeting Target,N/A,Approaching Target,N/A,N/A,N/A,81%,66%,81%,61%,84%,80%,Well Developed,Proficient,Proficient,Proficient,Well Developed,21-Apr-15,2.35,2.14,0.00%,19.00%,5.40%,41.90%,2.40%,31.50%,0.60%,86.30%,5.40%,1.80%,5,51.50%,89.70%,32.60%,98.20%
29Q492,"Mathematics, Science Research and Technology Magne",High School,433,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,78%,79%,78%,74%,70%,84%,Proficient,Developing,Proficient,Proficient,Developing,25-Mar-15,2.34,2.29,6.50%,12.00%,0.20%,50.10%,6.90%,38.10%,9.90%,72.30%,11.80%,1.60%,5.8,66.70%,89.20%,30.50%,94.20%
29Q494,"Law, Government and Community Service High School",High School,132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90%,83%,77%,80%,86%,89%,Developing,Developing,Proficient,Proficient,Developing,16-Apr-15,2.24,2.08,3.00%,19.70%,0.80%,49.80%,6.80%,37.10%,5.30%,81.10%,12.90%,0.80%,5.3,100.00%,84.30%,36.30%,96.80%
29Q496,"Business, Computer Applications & Entrepreneurship",High School,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75%,57%,73%,48%,79%,70%,Developing,Developing,Developing,Developing,Developing,11-May-15,2.24,1.97,10.60%,18.10%,0.00%,55.40%,17.00%,36.20%,5.30%,77.70%,11.70%,2.10%,3,100.00%,86.70%,35.60%,92.50%
29Q498,Humanities & Arts Magnet High School,High School,525,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,79%,77%,76%,76%,73%,84%,Proficient,Developing,Proficient,Proficient,Proficient,"January 6-7, 2014",2.34,2.11,3.40%,16.40%,0.80%,50.40%,7.00%,37.70%,5.50%,81.00%,11.80%,1.10%,5.8,90.00%,87.70%,38.00%,96.70%
30Q258,Energy Tech High School,High School,227,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92%,98%,86%,97%,80%,95%,Well Developed,Proficient,Proficient,Well Developed,Proficient,15-Jan-15,2.5,2.51,4.80%,16.30%,4.80%,50.10%,5.30%,35.70%,23.30%,11.50%,42.70%,15.90%,2,31.30%,94.80%,13.00%,98.90%
30Q286,"Young Women's Leadership School, Astoria",High School,572,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,90%,95%,91%,78%,74%,87%,Proficient,Developing,Proficient,Proficient,Proficient,20-Apr-15,2.83,2.69,3.40%,8.40%,0.00%,56.10%,2.50%,40.20%,37.70%,4.70%,38.00%,19.60%,1.3,58.30%,94.30%,14.10%,98.40%
