,ID,School Name,Total Grads % of cohort
14284,17K543_2015,SCIENCE TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH,95.8
14332,17K544_2015,INTERNATIONAL ARTS BUSINESS SCHOOL,70.6
14379,17K546_2015,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,92.7
14425,17K547_2015,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,62.9
14474,17K548_2015,BROOKLYN SCHOOL FOR MUSIC & THEATRE,77.7
14526,17K568_2015,BROWNSVILLE ACADEMY HIGH SCHOOL,26.3
14578,17K590_2015,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,95.4
14630,17K600_2015,CLARA BARTON HIGH SCHOOL,62.7
14678,17K625_2015,PAUL ROBESON HS,
14722,17K745_2015,BROOKLYN INSTITUTE FOR LIBERAL ARTS,
14736,17K751_2015,ACADEMY FOR HEALTH CAREERS,70.4
14844,18K563_2015,IT TAKES A VILLAGE ACADEMY,87.5
14884,18K566_2015,BROOKLYN GENERATION SCHOOL,64.6
14925,18K567_2015,BROOKLYN THEATRE ARTS HIGH SCHOOL,67.7
14960,18K569_2015,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,75.9
14999,18K576_2015,VICTORY COLLEGIATE HIGH SCHOOL,67.1
15040,18K578_2015,BROOKLYN BRIDGE ACADEMY,14.3
15084,18K589_2015,ARTS & MEDIA PREPARATORY ACADEMY,48.8
15119,18K617_2015,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,75.8
15143,18K635_2015,OLYMPUS ACADEMY,11.9
15152,18K629_2015,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,56.8
15186,18K633_2015,HIGH SCHOOL FOR MEDICAL PROFESSIONS,87.4
15255,18K637_2015,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,77.4
15286,18K642_2015,URBAN ACTION ACADEMY,51.9
15321,18K673_2015,EAST BROOKLYN COMMUNITY HIGH SCHOOL,20.8
15361,19K404_2015,ACADEMY FOR YOUNG WRITERS,71.8
15404,19K409_2015,EAST NEW YORK FAMILY ACADEMY,82.4
15504,19K502_2015,FDNY  CAPTAIN VERNON A RICHARDS HIGH SCHOOL FOR FI,68.8
15553,19K504_2015,HIGH SCHOOL FOR CIVIL RIGHTS,32.7
15602,19K507_2015,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,57.5
15652,19K510_2015,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHO,60.2
15703,19K583_2015,MULTICULTURAL HIGH SCHOOL,47.8
15737,19K615_2015,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,54.6
15788,19K618_2015,ACADEMY OF INNOVATIVE TECHNOLOGY,70.2
15824,19K639_2015,BROOKLYN LAB SCHOOL,48.4
15857,19K659_2015,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,54.8
15899,19K660_2015,W H MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SC,52.7
15949,19K683_2015,THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS WR,81.7
15988,20K445_2015,NEW UTRECHT HIGH SCHOOL,72.6
