,ID,School Name,Total Grads % of cohort
19332,28Q310_2017,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,88.0
19363,28Q325_2017,HILLSIDE ARTS & LETTERS ACADEMY,84.3
19381,28Q328_2017,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,90.6
19405,28Q338_2017,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,1.4
19421,31R470_2017,CONCORD HIGH SCHOOL,13.9
19440,28Q350_2017,JAMAICA GATEWAY TO THE SCIENCES,82.8
19469,28Q440_2017,FOREST HILLS HIGH SCHOOL,82.4
19561,28Q505_2017,HILLCREST HIGH SCHOOL,69.3
19613,28Q620_2017,THOMAS A EDISON CAREER AND TECHNICAL EDUCATION HIG,86.4
19665,28Q680_2017,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,96.3
19714,28Q686_2017,QUEENS METROPOLITAN HIGH SCHOOL,79.9
19744,28Q687_2017,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG,100.0
19792,28Q690_2017,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,78.6
19840,28Q896_2017,YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS,95.2
19865,29Q243_2017,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT,87.5
19880,29Q248_2017,QUEENS PREPARATORY ACADEMY,67.3
19925,29Q259_2017,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,49.4
19968,29Q265_2017,EXCELSIOR PREPARATORY HIGH SCHOOL,79.2
20014,29Q272_2017,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,77.3
20066,29Q283_2017,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD S,87.4
20101,29Q313_2017,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORM,
20107,29Q326_2017,CAMBRIA HEIGHTS ACADEMY,82.8
20125,29Q327_2017,EAGLE ACADEMY FOR YOUNG MEN III,92.6
20155,29Q492_2017,MATHEMATICS SCIENCE RESEARCH AND TECHNOLOGY MAGNET,67.3
20307,29Q498_2017,HUMANITIES & ARTS MAGNET HIGH SCHOOL,66.4
20351,30Q258_2017,ENERGY TECH HIGH SCHOOL,89.1
20357,30Q286_2017,YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA,95.1
20379,30Q301_2017,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.3
20408,30Q445_2017,WILLIAM CULLEN BRYANT HIGH SCHOOL,71.2
20460,30Q450_2017,LONG ISLAND CITY HIGH SCHOOL,60.7
20512,30Q501_2017,FRANK SINATRA SCHOOL OF THE ARTS HS,91.9
20564,30Q502_2017,INFORMATION TECHNOLOGY HIGH SCHOOL,80.3
20616,30Q555_2017,NEWCOMERS HIGH SCHOOL,73.0
20668,30Q575_2017,ACADEMY OF AMERICAN STUDIES,92.1
20720,30Q580_2017,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,100.0
20769,31R047_2017,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,99.2
20807,31R064_2017,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,91.3
20837,31R080_2017,THE MICHAEL J PETRIDES SCHOOL,89.1
20889,31R440_2017,NEW DORP HIGH SCHOOL,78.6
20941,31R445_2017,PORT RICHMOND HIGH SCHOOL,66.2
20993,31R450_2017,CURTIS HIGH SCHOOL,71.5
21045,31R455_2017,TOTTENVILLE HIGH SCHOOL,87.2
21097,31R460_2017,SUSAN E WAGNER HIGH SCHOOL,84.0
21200,31R600_2017,RALPH R MCKEE CAREER AND TECHNICAL EDUCATION HIGH,75.0
21252,31R605_2017,STATEN ISLAND TECHNICAL HIGH SCHOOL,99.4
21299,32K168_2017,THE BROOKLYN SCHOOL FOR MATH AND RESEARCH,87.9
21323,32K403_2017,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,67.7
21375,32K545_2017,EBC HIGH SCHOOL FOR PUBLIC SERVICE  BUSHWICK,66.9
21427,32K549_2017,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,62.5
21476,32K552_2017,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,80.8
21530,32K554_2017,ALL CITY LEADERSHIP SECONDARY SCHOOL,97.4
21577,32K556_2017,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,74.0
21626,32K564_2017,BUSHWICK COMMUNITY HIGH SCHOOL,23.3
